debt_id,customer_id,product_id,monto_deuda,fecha_vencimiento,estado
1,337,12,3831.61,2023-11-11,Vencida
2,1224,13,12669.07,2024-12-01,Vencida
3,261,20,15565.72,2023-01-19,Vencida
4,1843,19,16251.83,2023-07-21,Vigente
5,1505,8,7129.66,2025-05-01,Vigente
6,835,7,18620.13,2023-03-30,Vencida
7,675,1,7797.58,2024-01-04,Vencida
8,363,6,11795.63,2023-03-13,Vencida
9,1890,18,4444.2,2025-06-28,Vencida
10,1376,20,11210.63,2023-01-21,Vencida
11,11,7,5113.96,2023-04-05,Vencida
12,179,20,3475.2,2025-12-15,Vencida
13,686,17,11006.18,2022-12-31,Vencida
14,1592,2,1414.75,2025-08-01,Vigente
15,1860,2,5702.84,2023-01-17,Vencida
16,1037,5,14255.04,2023-05-05,Vencida
17,298,20,1942.53,2022-12-06,Vencida
18,1322,1,802.9,2023-10-11,Vencida
19,423,5,8149.23,2025-06-22,Vigente
20,1998,14,14268.2,2025-02-24,Vencida
21,856,7,15323.16,2024-01-23,Vigente
22,1545,2,7084.76,2023-09-25,Vencida
23,1438,7,17388.94,2025-09-15,Vencida
24,378,19,11014.88,2023-03-10,Vencida
25,1995,11,194.02,2025-02-09,Vencida
26,1217,12,18105.05,2025-08-24,Vencida
27,1265,3,647.63,2024-07-17,Vencida
28,1186,15,18034.04,2023-10-11,Vencida
29,458,3,19295.34,2024-12-21,Vencida
30,1421,8,1965.9,2024-05-17,Vencida
31,292,16,14221.54,2025-08-13,Vencida
32,620,2,14014.57,2023-01-26,Vencida
33,72,3,17487.42,2024-07-14,Vencida
34,1318,8,19544.66,2023-09-13,Vencida
35,747,9,3189.17,2023-07-31,Vencida
36,938,9,12441.42,2023-11-20,Vencida
37,621,18,1353.02,2023-10-06,Vencida
38,519,18,14440.61,2024-10-05,Vigente
39,369,10,15152.33,2024-03-29,Vencida
40,1153,16,11562.92,2024-07-26,Vencida
41,613,7,4823.41,2025-08-23,Vencida
42,1043,8,8226.56,2023-07-02,Vencida
43,40,20,10170.73,2023-11-24,Vencida
44,1004,13,1002.91,2025-04-10,Vigente
45,731,11,7818.42,2022-11-27,Vencida
46,439,19,10806.31,2024-08-19,Vencida
47,1255,10,5089.97,2023-03-16,Vencida
48,1505,17,5484.97,2023-09-15,Vencida
49,1812,4,13287.56,2025-01-02,Vencida
50,272,15,2566.13,2025-03-04,Castigada
51,1499,15,17537.18,2025-03-03,Vencida
52,1354,4,15781.31,2024-01-27,Vencida
53,701,9,19024.16,2022-12-17,Vencida
54,99,17,8395.54,2023-02-25,Castigada
55,557,15,6104.88,2025-04-05,Vencida
56,1786,4,17351.28,2025-10-28,Vigente
57,163,9,8085.16,2025-07-13,Vencida
58,1200,12,11907.86,2025-05-13,Vigente
59,1940,11,9320.8,2023-05-28,Vencida
60,654,7,14161.05,2024-01-16,Vencida
61,255,20,553.38,2025-07-24,Vencida
62,1123,13,5738.44,2024-06-23,Vencida
63,795,1,19720.47,2025-01-08,Vencida
64,864,9,14443.8,2025-12-03,Vencida
65,1649,11,16123.17,2025-10-22,Vencida
66,814,19,18610.42,2022-11-27,Vencida
67,1451,10,389.21,2025-11-13,Vencida
68,1421,12,12259.94,2024-08-02,Vencida
69,1881,10,11678.61,2024-04-20,Vencida
70,358,4,12539.46,2022-12-14,Vencida
71,1218,8,7756.21,2024-02-11,Vigente
72,625,10,6167.42,2024-02-21,Vencida
73,942,20,19667.47,2023-10-17,Vencida
74,569,18,8605.88,2025-02-05,Vencida
75,1683,1,11742.29,2025-07-17,Vencida
76,1099,2,4374.06,2024-11-11,Castigada
77,1112,6,17387.13,2023-06-24,Vencida
78,1514,12,10955.72,2023-12-01,Vencida
79,806,16,4885.56,2024-10-12,Vencida
80,1062,4,3774.49,2023-10-03,Vencida
81,1750,20,11204.71,2024-09-16,Castigada
82,294,2,6967.1,2023-05-13,Vencida
83,1157,2,2073.73,2024-09-10,Vencida
84,763,3,8095.05,2025-05-03,Vencida
85,919,20,4807.15,2025-05-17,Vencida
86,801,12,18990.56,2024-11-15,Vencida
87,1720,2,1226.5,2025-09-01,Castigada
88,1739,6,9396.8,2024-08-19,Castigada
89,1812,13,902.95,2023-06-05,Vigente
90,187,18,830.93,2025-01-24,Vencida
91,1757,10,15858.33,2023-11-29,Castigada
92,205,5,3180.79,2023-07-16,Vigente
93,793,18,18894.93,2024-01-13,Vigente
94,1841,15,546.51,2024-08-30,Castigada
95,1814,10,10708.31,2023-05-15,Vencida
96,596,18,19532.75,2025-09-23,Vigente
97,962,9,19306.11,2024-07-30,Vencida
98,1021,4,18902.07,2023-04-12,Vigente
99,412,15,19820.22,2024-05-16,Vigente
