gestion_id,customer_id,resultado,canal,fecha_gestion
1,44,Contactado,Llamada,2024-12-16
2,510,Número incorrecto,SMS,2024-03-30
3,1295,No responde,SMS,2025-04-22
4,598,No responde,SMS,2024-11-13
5,1656,Contactado,Llamada,2025-07-12
6,87,Contactado,Email,2024-08-20
7,1668,No responde,Llamada,2025-07-20
8,874,Número incorrecto,Email,2025-10-15
9,617,Número incorrecto,WhatsApp,2025-10-05
10,1569,Número incorrecto,Llamada,2024-07-24
11,1656,No responde,Llamada,2024-06-05
12,778,No responde,Email,2024-08-26
13,468,Número incorrecto,WhatsApp,2024-01-11
14,916,Contactado,SMS,2024-12-20
15,312,Promesa de pago,Llamada,2025-04-26
16,1768,No responde,SMS,2024-10-16
17,1926,Número incorrecto,WhatsApp,2025-05-30
18,419,Número incorrecto,SMS,2025-05-18
19,246,No responde,Llamada,2025-04-11
20,1207,Número incorrecto,Llamada,2024-05-23
21,354,Promesa de pago,WhatsApp,2024-08-03
22,1022,Número incorrecto,SMS,2024-04-28
23,1584,Promesa de pago,Llamada,2025-01-20
24,1749,Promesa de pago,Email,2025-06-29
25,321,Número incorrecto,WhatsApp,2025-06-13
26,138,No responde,Email,2025-08-22
27,189,Contactado,SMS,2024-09-22
28,1665,Contactado,Llamada,2025-09-29
29,360,No responde,SMS,2025-06-07
30,1243,Contactado,Email,2023-12-03
31,1986,No responde,WhatsApp,2024-05-16
32,1676,Contactado,Email,2024-05-15
33,528,Contactado,Llamada,2024-03-28
34,1292,Promesa de pago,Email,2024-04-03
35,548,Contactado,WhatsApp,2024-01-10
36,522,No responde,WhatsApp,2025-05-15
37,85,No responde,Email,2025-06-15
38,1488,Número incorrecto,WhatsApp,2024-10-12
39,1740,Contactado,SMS,2025-07-11
40,735,Número incorrecto,Llamada,2025-07-26
41,1559,Promesa de pago,WhatsApp,2025-03-03
42,27,Promesa de pago,WhatsApp,2025-05-04
43,1878,Promesa de pago,Email,2024-10-07
44,463,Promesa de pago,WhatsApp,2025-08-11
45,1732,Contactado,SMS,2025-07-03
46,1159,Número incorrecto,WhatsApp,2025-01-13
47,83,Número incorrecto,SMS,2025-06-01
48,1903,No responde,Email,2024-01-09
49,1018,Número incorrecto,WhatsApp,2024-03-21
50,1924,Número incorrecto,Llamada,2024-11-05
51,520,Promesa de pago,WhatsApp,2023-12-21
52,1587,Contactado,Email,2025-07-18
53,269,Número incorrecto,SMS,2025-02-25
54,1542,Promesa de pago,Email,2025-04-11
55,394,Contactado,WhatsApp,2025-01-01
56,834,Promesa de pago,Email,2024-11-19
57,715,No responde,Email,2024-06-08
58,124,Contactado,SMS,2024-04-14
59,1805,Contactado,Email,2025-02-03
60,421,Número incorrecto,WhatsApp,2024-04-26
