payment_id,debt_id,customer_id,monto_pago,fecha_pago
1,1364,419,1240.8,2024-05-27
2,1102,477,558.68,2025-05-23
3,1817,798,408.72,2025-10-12
4,3888,878,508.05,2025-10-23
5,1765,881,1001.13,2023-06-15
6,2395,886,365.14,2024-01-20
7,305,1129,674.91,2025-02-04
8,2599,326,1341.81,2024-06-01
9,3815,241,697.45,2023-07-29
10,434,817,614.5,2024-03-19
11,4119,882,1192.22,2025-09-26
12,45,1765,114.04,2025-07-16
13,3475,965,130.01,2025-08-27
14,1984,498,677.24,2023-12-03
15,3724,1717,42.69,2024-03-31
16,1232,365,316.09,2024-03-29
17,3901,1749,841.35,2025-09-03
18,3795,80,995.22,2023-04-22
19,1350,1688,325.9,2024-03-11
20,4064,383,281.59,2024-06-28
21,1670,1992,223.14,2025-01-12
22,4452,150,873.88,2024-10-01
23,1079,1001,1061.84,2024-04-12
24,1021,1782,1261.91,2023-07-12
25,2714,1037,528.37,2024-12-18
26,3434,618,868.85,2023-04-18
27,3022,1245,1275.28,2024-11-03
28,111,618,515.11,2025-03-24
29,3958,1054,185.43,2023-10-21
30,495,859,41.34,2023-03-23
31,3927,879,1314.52,2025-02-15
32,2463,1724,129.38,2024-08-03
33,2271,1839,1489.53,2025-07-06
34,4421,716,939.78,2023-09-06
35,127,573,976.11,2024-01-26
36,84,747,1013.69,2023-12-26
37,1375,1624,292.26,2025-08-05
38,3616,1161,526.4,2024-03-01
39,3518,294,1190.67,2023-03-02
40,3843,1438,438.88,2024-03-07
41,3110,1470,562.1,2024-12-08
42,4337,1570,60.42,2024-12-28
43,4317,728,622.35,2024-08-22
44,4363,634,717.19,2023-09-29
45,3469,781,696.94,2024-02-01
46,3124,1664,723.71,2023-06-21
47,3205,493,1133.87,2024-08-17
48,1773,1533,391.71,2024-09-17
49,4403,3,715.26,2023-05-24
50,4452,1542,169.56,2024-11-18
51,4489,1572,190.99,2024-04-02
52,2734,138,822.53,2024-05-14
53,2560,407,553.21,2023-08-17
54,2534,91,906.65,2024-07-05
55,2919,1595,1288.56,2025-08-11
56,192,493,559.28,2023-04-13
57,1728,1702,215.74,2023-02-12
58,3143,653,734.2,2024-08-09
59,3537,186,249.55,2024-06-20
60,313,1528,1270.63,2024-12-12
61,2396,1137,1236.03,2023-05-09
62,3485,232,44.6,2023-05-06
63,1279,1408,244.0,2025-01-07
64,3169,23,412.43,2025-05-28
65,3691,1937,1068.45,2023-10-26
66,1942,82,366.55,2024-07-28
67,1786,1796,426.16,2025-10-13
68,958,327,1407.27,2025-06-13
69,488,1039,1160.81,2023-02-06
70,266,1371,522.14,2023-05-01
71,2817,938,436.32,2023-03-12
72,4422,622,1451.36,2025-08-25
73,4266,728,1262.82,2023-09-07
74,4334,1950,706.3,2025-04-01
75,4239,531,992.94,2025-10-26
