promesa_id,customer_id,debt_id,monto_prometido,fecha_promesa
1,480,329,1671.64,2025-06-25
2,675,346,1462.08,2025-11-14
3,1406,4416,3613.12,2025-01-31
4,137,164,2225.66,2025-06-19
5,1905,1076,456.63,2025-02-01
6,1285,424,1964.73,2025-06-14
7,1931,829,612.64,2025-01-05
8,174,4496,3261.91,2025-05-30
9,37,1404,4687.17,2025-10-08
10,870,3600,506.78,2024-12-02
11,41,3329,95.22,2025-04-14
12,287,2585,4226.3,2025-03-18
13,718,1275,3303.11,2025-06-06
14,478,28,333.62,2024-12-30
15,1527,4146,3141.45,2025-04-21
16,767,2173,1419.27,2025-03-30
17,1828,4263,4413.33,2025-07-12
18,954,2869,2000.72,2025-07-11
19,1285,60,755.7,2024-12-01
20,1728,4457,4654.45,2025-04-15
21,629,2598,1048.68,2024-11-26
22,1903,3866,2424.91,2025-03-28
23,65,3420,1955.54,2025-05-20
24,937,153,1435.55,2025-09-02
25,1245,1019,734.69,2025-05-26
26,987,1298,3567.66,2025-09-28
27,62,3036,184.81,2025-05-23
28,649,1650,2912.4,2025-04-26
29,1357,4032,1708.78,2025-10-02
30,888,3364,2989.12,2025-09-04
31,1394,265,325.27,2025-05-16
32,1164,664,607.25,2024-11-30
33,1495,3380,1643.34,2025-09-04
34,1887,4452,4205.52,2024-11-28
35,1812,3504,809.62,2025-04-23
36,241,2218,2131.79,2025-07-14
37,289,1463,4353.92,2025-07-14
38,1312,4438,4401.3,2025-05-25
39,1288,971,1947.3,2025-08-25
40,1317,2102,564.7,2025-06-11
41,1530,2964,2203.74,2025-11-14
42,198,4397,3229.17,2024-12-30
43,1261,33,771.93,2025-09-10
44,1030,4028,714.28,2025-02-22
45,421,3439,1100.32,2025-04-03
46,958,3012,307.13,2025-05-07
47,334,4317,1067.1,2025-04-12
48,1650,4047,850.12,2025-07-25
49,236,1868,3332.46,2024-12-22
50,706,831,553.05,2025-09-20
51,1369,3383,254.19,2025-03-21
52,747,67,4698.19,2025-10-06
53,1945,816,3359.9,2024-11-19
54,1675,919,1780.02,2025-02-02
55,159,86,1992.36,2025-08-04
56,1081,3010,2801.63,2025-03-26
57,1850,4405,1041.46,2025-02-05
58,1153,2031,2527.42,2025-09-03
59,183,3856,4907.18,2025-11-13
60,1882,1805,2133.75,2025-09-04
61,654,1356,3160.38,2025-07-13
62,899,496,2449.63,2025-01-24
63,903,41,4982.67,2025-06-30
64,1097,851,533.28,2025-02-05
65,808,876,4695.76,2025-09-12
66,1598,399,4672.74,2025-04-21
67,1578,409,3783.09,2025-03-20
68,364,2032,1801.05,2025-10-24
69,1218,579,3466.9,2025-03-31
70,280,520,1039.05,2025-10-03
71,450,2797,3693.67,2025-02-17
72,1092,1210,1625.61,2025-02-12
73,914,467,1126.38,2025-02-08
74,10,4235,4216.93,2025-06-30
75,587,1106,3813.46,2025-03-18
76,530,3778,1724.46,2025-01-24
77,1287,289,4908.15,2025-02-22
78,1034,1357,3391.27,2025-01-23
79,217,3170,4395.87,2025-03-20
80,591,280,2554.23,2024-12-16
81,1659,3986,1725.41,2025-02-26
82,873,2314,2394.62,2024-11-16
83,1523,3518,2156.38,2025-06-04
84,213,3618,2365.56,2025-01-04
85,1441,289,2459.29,2025-11-08
86,1089,2008,4491.41,2025-05-28
87,537,4066,1886.94,2025-04-28
88,177,1975,3035.26,2024-12-31
89,1369,2664,288.7,2025-06-02
90,1202,1157,1756.23,2025-07-30
91,770,2573,4360.75,2025-08-09
92,1676,3114,4477.61,2025-06-21
93,340,990,2276.85,2025-01-15
94,914,1421,1267.37,2025-09-27
95,1556,3889,798.27,2025-04-14
96,774,3551,1179.9,2025-07-31
97,1714,2584,608.0,2025-02-06
98,762,394,3470.81,2025-05-28
99,148,2729,3385.77,2025-01-19
100,1344,2534,4185.96,2025-05-17
101,1753,3448,3918.52,2025-05-23
102,1490,958,3526.17,2025-10-01
103,480,2334,4697.57,2025-04-28
104,1450,4231,3624.22,2025-01-20
105,1083,2386,1713.85,2025-06-10
106,1684,2425,4116.66,2024-12-24
107,1144,1603,4223.71,2025-01-31
108,1325,4202,2212.21,2025-11-05
109,886,2104,1742.55,2025-04-17
110,500,2374,4352.71,2025-11-13
111,334,108,4192.01,2025-03-09
112,1245,4269,713.28,2025-07-15
113,898,4335,4133.29,2025-02-05
114,432,3293,3035.8,2025-05-05
115,1076,4223,1363.6,2025-07-24
116,152,3170,1096.38,2025-09-26
117,376,3065,3803.01,2024-12-01
118,1263,3134,224.9,2025-01-31
119,1899,2305,740.99,2025-03-09
120,813,1604,3511.55,2025-10-28
121,1431,3579,2051.01,2025-03-15
122,668,3960,471.99,2025-04-27
123,108,2781,254.08,2025-05-01
124,1304,4383,2739.76,2025-07-20
125,1541,4354,4515.25,2025-08-29
126,1434,1384,3573.48,2025-04-01
127,1556,4434,3806.9,2025-02-08
128,149,1267,2762.45,2025-10-28
129,1478,2343,3155.62,2025-03-07
130,482,929,3509.7,2025-09-01
131,1160,3396,4114.92,2025-01-19
132,1265,2062,2651.17,2025-03-09
133,1501,2444,236.91,2025-03-01
134,1262,3847,271.6,2025-09-01
135,1697,2077,4232.51,2024-11-18
136,348,2362,3944.04,2025-08-01
